Order_Quantity,Net_price,dubai_marker,premium,api_60F,water_vol_perc,water_mass_perc,sulfur_mass_perc,salt_lbs_per_kbbl,mechanical_impur_mass_perc,mechanical_impur_vol_perc
300649.96,50.45,45.574,4.876,36.52,0.134672,0.16,0.27,8.96,0.007,0.003
707199.29,59,55.441,3.559,35.86,0.185856,0.22,0.283,7.932,0.009,0.004
707485.4,59.86,55.441,4.419,36.24,0.236068,0.28,0.267,11.828,0.007,0.003
710462.81,59.02,54.658,4.362,36.46,0.1684,0.2,0.273,7.449,0.007,0.003
697386.99,58.86,54.658,4.202,36.18,0.37114,0.44,0.272,20.001,0.011,0.005
698280.58,63.26,58.55,4.71,36.24,0.38778,0.46,0.277,20.987,0.013,0.005
714459.46,64.05,58.55,5.5,36.36,0.193775,0.23,0.256,11.056,0.007,0.003
698234.01,67.63,63.557,4.073,36.45,0.25263,0.3,0.262,15.185,0.009,0.004
696610.23,68.75,63.557,5.193,36.02,0.489636,0.58,0.263,24.644,0.012,0.005
710504.62,65.84,61.788,4.052,36.28,0.3372,0.4,0.256,17.852,0.014,0.006
711442.1,65.7,61.788,3.912,36.24,0.632325,0.75,0.266,27.631,0.016,0.006
702445.47,59.53,56.168,3.362,36.29,0.497311,0.59,0.259,23.527,0.014,0.006
713557.47,60.18,56.168,4.012,36.09,0.413511,0.49,0.275,23.159,0.014,0.006
715257.57,50.59,47.691,2.899,34.03,0.230688,0.27,0.308,12.987,0.013,0.006
717464.9,52.1,47.691,4.409,36.48,0.067352,0.08,0.267,6.833,0.005,0.002
713969.84,49.18,45.375,3.805,35.99,0.143548,0.17,0.266,9.21,0.011,0.005
713955.61,48.13,45.375,2.755,35.9,0.278817,0.33,0.275,18.747,0.014,0.006
713834.01,49.07,45.839,3.231,35.92,0.295645,0.35,0.271,14.239,0.012,0.005
690788.25,48.96,45.839,3.121,35.34,0.559482,0.66,0.28,26.976,0.015,0.006
